name,type_1,type_2,ability,bst,pokedex_description,sprite_front,sprite_shiny,sprite_back,sprite_back_shiny
kakuna,bug,poison,shed-skin,205,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://img.pokemondb.net/sprites/black-white/normal/kakuna.png,https://img.pokemondb.net/sprites/black-white/shiny/kakuna.png,https://img.pokemondb.net/sprites/black-white/back-normal/kakuna.png,https://img.pokemondb.net/sprites/black-white/back-shiny/kakuna.png
beedrill,bug,poison,swarm,395,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,https://img.pokemondb.net/sprites/black-white/normal/beedrill.png,https://img.pokemondb.net/sprites/black-white/shiny/beedrill.png,https://img.pokemondb.net/sprites/black-white/back-normal/beedrill.png,https://img.pokemondb.net/sprites/black-white/back-shiny/beedrill.png
pidgey,normal,flying,keen-eye,251,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://img.pokemondb.net/sprites/black-white/normal/pidgey.png,https://img.pokemondb.net/sprites/black-white/shiny/pidgey.png,https://img.pokemondb.net/sprites/black-white/back-normal/pidgey.png,https://img.pokemondb.net/sprites/black-white/back-shiny/pidgey.png
pidgeotto,normal,flying,keen-eye,349,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://img.pokemondb.net/sprites/black-white/normal/pidgeotto.png,https://img.pokemondb.net/sprites/black-white/shiny/pidgeotto.png,https://img.pokemondb.net/sprites/black-white/back-normal/pidgeotto.png,https://img.pokemondb.net/sprites/black-white/back-shiny/pidgeotto.png
pidgeot,normal,flying,keen-eye,479,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://img.pokemondb.net/sprites/black-white/normal/pidgeot.png,https://img.pokemondb.net/sprites/black-white/shiny/pidgeot.png,https://img.pokemondb.net/sprites/black-white/back-normal/pidgeot.png,https://img.pokemondb.net/sprites/black-white/back-shiny/pidgeot.png
rattata,normal,,run-away,253,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://img.pokemondb.net/sprites/black-white/normal/rattata.png,https://img.pokemondb.net/sprites/black-white/shiny/rattata.png,https://img.pokemondb.net/sprites/black-white/back-normal/rattata.png,https://img.pokemondb.net/sprites/black-white/back-shiny/rattata.png
raticate,normal,,run-away,413,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://img.pokemondb.net/sprites/black-white/normal/raticate.png,https://img.pokemondb.net/sprites/black-white/shiny/raticate.png,https://img.pokemondb.net/sprites/black-white/back-normal/raticate.png,https://img.pokemondb.net/sprites/black-white/back-shiny/raticate.png
spearow,normal,flying,keen-eye,262,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,https://img.pokemondb.net/sprites/black-white/normal/spearow.png,https://img.pokemondb.net/sprites/black-white/shiny/spearow.png,https://img.pokemondb.net/sprites/black-white/back-normal/spearow.png,https://img.pokemondb.net/sprites/black-white/back-shiny/spearow.png
fearow,normal,flying,keen-eye,442,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://img.pokemondb.net/sprites/black-white/normal/fearow.png,https://img.pokemondb.net/sprites/black-white/shiny/fearow.png,https://img.pokemondb.net/sprites/black-white/back-normal/fearow.png,https://img.pokemondb.net/sprites/black-white/back-shiny/fearow.png
ekans,poison,,intimidate,288,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://img.pokemondb.net/sprites/black-white/normal/ekans.png,https://img.pokemondb.net/sprites/black-white/shiny/ekans.png,https://img.pokemondb.net/sprites/black-white/back-normal/ekans.png,https://img.pokemondb.net/sprites/black-white/back-shiny/ekans.png
arbok,poison,,intimidate,448,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://img.pokemondb.net/sprites/black-white/normal/arbok.png,https://img.pokemondb.net/sprites/black-white/shiny/arbok.png,https://img.pokemondb.net/sprites/black-white/back-normal/arbok.png,https://img.pokemondb.net/sprites/black-white/back-shiny/arbok.png
pikachu,electric,,static,320,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://img.pokemondb.net/sprites/black-white/normal/pikachu.png,https://img.pokemondb.net/sprites/black-white/shiny/pikachu.png,https://img.pokemondb.net/sprites/black-white/back-normal/pikachu.png,https://img.pokemondb.net/sprites/black-white/back-shiny/pikachu.png
raichu,electric,,static,485,Its long tail serves as a ground to protect itself from its own high voltage power.,https://img.pokemondb.net/sprites/black-white/normal/raichu.png,https://img.pokemondb.net/sprites/black-white/shiny/raichu.png,https://img.pokemondb.net/sprites/black-white/back-normal/raichu.png,https://img.pokemondb.net/sprites/black-white/back-shiny/raichu.png
sandshrew,ground,,sand-veil,300,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://img.pokemondb.net/sprites/black-white/normal/sandshrew.png,https://img.pokemondb.net/sprites/black-white/shiny/sandshrew.png,https://img.pokemondb.net/sprites/black-white/back-normal/sandshrew.png,https://img.pokemondb.net/sprites/black-white/back-shiny/sandshrew.png
sandslash,ground,,sand-veil,450,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://img.pokemondb.net/sprites/black-white/normal/sandslash.png,https://img.pokemondb.net/sprites/black-white/shiny/sandslash.png,https://img.pokemondb.net/sprites/black-white/back-normal/sandslash.png,https://img.pokemondb.net/sprites/black-white/back-shiny/sandslash.png
nidoran-f,poison,,poison-point,275,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://img.pokemondb.net/sprites/black-white/normal/nidoran-f.png,https://img.pokemondb.net/sprites/black-white/shiny/nidoran-f.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidoran-f.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidoran-f.png
nidorina,poison,,poison-point,365,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://img.pokemondb.net/sprites/black-white/normal/nidorina.png,https://img.pokemondb.net/sprites/black-white/shiny/nidorina.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidorina.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidorina.png
nidoqueen,poison,ground,poison-point,505,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://img.pokemondb.net/sprites/black-white/normal/nidoqueen.png,https://img.pokemondb.net/sprites/black-white/shiny/nidoqueen.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidoqueen.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidoqueen.png
nidoran-m,poison,,poison-point,273,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://img.pokemondb.net/sprites/black-white/normal/nidoran-m.png,https://img.pokemondb.net/sprites/black-white/shiny/nidoran-m.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidoran-m.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidoran-m.png
nidorino,poison,,poison-point,365,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://img.pokemondb.net/sprites/black-white/normal/nidorino.png,https://img.pokemondb.net/sprites/black-white/shiny/nidorino.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidorino.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidorino.png
nidoking,poison,ground,poison-point,505,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://img.pokemondb.net/sprites/black-white/normal/nidoking.png,https://img.pokemondb.net/sprites/black-white/shiny/nidoking.png,https://img.pokemondb.net/sprites/black-white/back-normal/nidoking.png,https://img.pokemondb.net/sprites/black-white/back-shiny/nidoking.png
clefairy,fairy,,cute-charm,323,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://img.pokemondb.net/sprites/black-white/normal/clefairy.png,https://img.pokemondb.net/sprites/black-white/shiny/clefairy.png,https://img.pokemondb.net/sprites/black-white/back-normal/clefairy.png,https://img.pokemondb.net/sprites/black-white/back-shiny/clefairy.png
clefable,fairy,,cute-charm,483,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://img.pokemondb.net/sprites/black-white/normal/clefable.png,https://img.pokemondb.net/sprites/black-white/shiny/clefable.png,https://img.pokemondb.net/sprites/black-white/back-normal/clefable.png,https://img.pokemondb.net/sprites/black-white/back-shiny/clefable.png
vulpix,fire,,flash-fire,299,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://img.pokemondb.net/sprites/black-white/normal/vulpix.png,https://img.pokemondb.net/sprites/black-white/shiny/vulpix.png,https://img.pokemondb.net/sprites/black-white/back-normal/vulpix.png,https://img.pokemondb.net/sprites/black-white/back-shiny/vulpix.png
ninetales,fire,,flash-fire,505,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://img.pokemondb.net/sprites/black-white/normal/ninetales.png,https://img.pokemondb.net/sprites/black-white/shiny/ninetales.png,https://img.pokemondb.net/sprites/black-white/back-normal/ninetales.png,https://img.pokemondb.net/sprites/black-white/back-shiny/ninetales.png
jigglypuff,normal,fairy,cute-charm,270,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://img.pokemondb.net/sprites/black-white/normal/jigglypuff.png,https://img.pokemondb.net/sprites/black-white/shiny/jigglypuff.png,https://img.pokemondb.net/sprites/black-white/back-normal/jigglypuff.png,https://img.pokemondb.net/sprites/black-white/back-shiny/jigglypuff.png
wigglytuff,normal,fairy,cute-charm,435,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://img.pokemondb.net/sprites/black-white/normal/wigglytuff.png,https://img.pokemondb.net/sprites/black-white/shiny/wigglytuff.png,https://img.pokemondb.net/sprites/black-white/back-normal/wigglytuff.png,https://img.pokemondb.net/sprites/black-white/back-shiny/wigglytuff.png
zubat,poison,flying,inner-focus,245,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://img.pokemondb.net/sprites/black-white/normal/zubat.png,https://img.pokemondb.net/sprites/black-white/shiny/zubat.png,https://img.pokemondb.net/sprites/black-white/back-normal/zubat.png,https://img.pokemondb.net/sprites/black-white/back-shiny/zubat.png
golbat,poison,flying,inner-focus,455,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://img.pokemondb.net/sprites/black-white/normal/golbat.png,https://img.pokemondb.net/sprites/black-white/shiny/golbat.png,https://img.pokemondb.net/sprites/black-white/back-normal/golbat.png,https://img.pokemondb.net/sprites/black-white/back-shiny/golbat.png
oddish,grass,poison,chlorophyll,320,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://img.pokemondb.net/sprites/black-white/normal/oddish.png,https://img.pokemondb.net/sprites/black-white/shiny/oddish.png,https://img.pokemondb.net/sprites/black-white/back-normal/oddish.png,https://img.pokemondb.net/sprites/black-white/back-shiny/oddish.png
gloom,grass,poison,chlorophyll,395,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://img.pokemondb.net/sprites/black-white/normal/gloom.png,https://img.pokemondb.net/sprites/black-white/shiny/gloom.png,https://img.pokemondb.net/sprites/black-white/back-normal/gloom.png,https://img.pokemondb.net/sprites/black-white/back-shiny/gloom.png
vileplume,grass,poison,chlorophyll,490,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",https://img.pokemondb.net/sprites/black-white/normal/vileplume.png,https://img.pokemondb.net/sprites/black-white/shiny/vileplume.png,https://img.pokemondb.net/sprites/black-white/back-normal/vileplume.png,https://img.pokemondb.net/sprites/black-white/back-shiny/vileplume.png
paras,bug,grass,effect-spore,285,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://img.pokemondb.net/sprites/black-white/normal/paras.png,https://img.pokemondb.net/sprites/black-white/shiny/paras.png,https://img.pokemondb.net/sprites/black-white/back-normal/paras.png,https://img.pokemondb.net/sprites/black-white/back-shiny/paras.png
parasect,bug,grass,effect-spore,405,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://img.pokemondb.net/sprites/black-white/normal/parasect.png,https://img.pokemondb.net/sprites/black-white/shiny/parasect.png,https://img.pokemondb.net/sprites/black-white/back-normal/parasect.png,https://img.pokemondb.net/sprites/black-white/back-shiny/parasect.png
venonat,bug,poison,compound-eyes,305,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://img.pokemondb.net/sprites/black-white/normal/venonat.png,https://img.pokemondb.net/sprites/black-white/shiny/venonat.png,https://img.pokemondb.net/sprites/black-white/back-normal/venonat.png,https://img.pokemondb.net/sprites/black-white/back-shiny/venonat.png
venomoth,bug,poison,shield-dust,450,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,https://img.pokemondb.net/sprites/black-white/normal/venomoth.png,https://img.pokemondb.net/sprites/black-white/shiny/venomoth.png,https://img.pokemondb.net/sprites/black-white/back-normal/venomoth.png,https://img.pokemondb.net/sprites/black-white/back-shiny/venomoth.png
diglett,ground,,sand-veil,265,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://img.pokemondb.net/sprites/black-white/normal/diglett.png,https://img.pokemondb.net/sprites/black-white/shiny/diglett.png,https://img.pokemondb.net/sprites/black-white/back-normal/diglett.png,https://img.pokemondb.net/sprites/black-white/back-shiny/diglett.png
dugtrio,ground,,sand-veil,425,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://img.pokemondb.net/sprites/black-white/normal/dugtrio.png,https://img.pokemondb.net/sprites/black-white/shiny/dugtrio.png,https://img.pokemondb.net/sprites/black-white/back-normal/dugtrio.png,https://img.pokemondb.net/sprites/black-white/back-shiny/dugtrio.png
meowth,normal,,pickup,290,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,https://img.pokemondb.net/sprites/black-white/normal/meowth.png,https://img.pokemondb.net/sprites/black-white/shiny/meowth.png,https://img.pokemondb.net/sprites/black-white/back-normal/meowth.png,https://img.pokemondb.net/sprites/black-white/back-shiny/meowth.png
persian,normal,,limber,440,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://img.pokemondb.net/sprites/black-white/normal/persian.png,https://img.pokemondb.net/sprites/black-white/shiny/persian.png,https://img.pokemondb.net/sprites/black-white/back-normal/persian.png,https://img.pokemondb.net/sprites/black-white/back-shiny/persian.png
psyduck,water,,damp,320,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://img.pokemondb.net/sprites/black-white/normal/psyduck.png,https://img.pokemondb.net/sprites/black-white/shiny/psyduck.png,https://img.pokemondb.net/sprites/black-white/back-normal/psyduck.png,https://img.pokemondb.net/sprites/black-white/back-shiny/psyduck.png
golduck,water,,damp,500,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://img.pokemondb.net/sprites/black-white/normal/golduck.png,https://img.pokemondb.net/sprites/black-white/shiny/golduck.png,https://img.pokemondb.net/sprites/black-white/back-normal/golduck.png,https://img.pokemondb.net/sprites/black-white/back-shiny/golduck.png
mankey,fighting,,vital-spirit,305,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://img.pokemondb.net/sprites/black-white/normal/mankey.png,https://img.pokemondb.net/sprites/black-white/shiny/mankey.png,https://img.pokemondb.net/sprites/black-white/back-normal/mankey.png,https://img.pokemondb.net/sprites/black-white/back-shiny/mankey.png
primeape,fighting,,vital-spirit,455,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://img.pokemondb.net/sprites/black-white/normal/primeape.png,https://img.pokemondb.net/sprites/black-white/shiny/primeape.png,https://img.pokemondb.net/sprites/black-white/back-normal/primeape.png,https://img.pokemondb.net/sprites/black-white/back-shiny/primeape.png
growlithe,fire,,intimidate,350,Very protective of its territory. It will bark and bite to repel intruders from its space.,https://img.pokemondb.net/sprites/black-white/normal/growlithe.png,https://img.pokemondb.net/sprites/black-white/shiny/growlithe.png,https://img.pokemondb.net/sprites/black-white/back-normal/growlithe.png,https://img.pokemondb.net/sprites/black-white/back-shiny/growlithe.png
arcanine,fire,,intimidate,555,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://img.pokemondb.net/sprites/black-white/normal/arcanine.png,https://img.pokemondb.net/sprites/black-white/shiny/arcanine.png,https://img.pokemondb.net/sprites/black-white/back-normal/arcanine.png,https://img.pokemondb.net/sprites/black-white/back-shiny/arcanine.png
poliwag,water,,water-absorb,300,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://img.pokemondb.net/sprites/black-white/normal/poliwag.png,https://img.pokemondb.net/sprites/black-white/shiny/poliwag.png,https://img.pokemondb.net/sprites/black-white/back-normal/poliwag.png,https://img.pokemondb.net/sprites/black-white/back-shiny/poliwag.png
poliwhirl,water,,water-absorb,385,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://img.pokemondb.net/sprites/black-white/normal/poliwhirl.png,https://img.pokemondb.net/sprites/black-white/shiny/poliwhirl.png,https://img.pokemondb.net/sprites/black-white/back-normal/poliwhirl.png,https://img.pokemondb.net/sprites/black-white/back-shiny/poliwhirl.png
poliwrath,water,fighting,water-absorb,510,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://img.pokemondb.net/sprites/black-white/normal/poliwrath.png,https://img.pokemondb.net/sprites/black-white/shiny/poliwrath.png,https://img.pokemondb.net/sprites/black-white/back-normal/poliwrath.png,https://img.pokemondb.net/sprites/black-white/back-shiny/poliwrath.png
abra,psychic,,synchronize,310,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://img.pokemondb.net/sprites/black-white/normal/abra.png,https://img.pokemondb.net/sprites/black-white/shiny/abra.png,https://img.pokemondb.net/sprites/black-white/back-normal/abra.png,https://img.pokemondb.net/sprites/black-white/back-shiny/abra.png
kadabra,psychic,,synchronize,400,It emits special alpha waves from its body that induce headaches just by being close by.,https://img.pokemondb.net/sprites/black-white/normal/kadabra.png,https://img.pokemondb.net/sprites/black-white/shiny/kadabra.png,https://img.pokemondb.net/sprites/black-white/back-normal/kadabra.png,https://img.pokemondb.net/sprites/black-white/back-shiny/kadabra.png
alakazam,psychic,,synchronize,500,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",https://img.pokemondb.net/sprites/black-white/normal/alakazam.png,https://img.pokemondb.net/sprites/black-white/shiny/alakazam.png,https://img.pokemondb.net/sprites/black-white/back-normal/alakazam.png,https://img.pokemondb.net/sprites/black-white/back-shiny/alakazam.png
machop,fighting,,guts,305,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,https://img.pokemondb.net/sprites/black-white/normal/machop.png,https://img.pokemondb.net/sprites/black-white/shiny/machop.png,https://img.pokemondb.net/sprites/black-white/back-normal/machop.png,https://img.pokemondb.net/sprites/black-white/back-shiny/machop.png
machoke,fighting,,guts,405,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",https://img.pokemondb.net/sprites/black-white/normal/machoke.png,https://img.pokemondb.net/sprites/black-white/shiny/machoke.png,https://img.pokemondb.net/sprites/black-white/back-normal/machoke.png,https://img.pokemondb.net/sprites/black-white/back-shiny/machoke.png
machamp,fighting,,guts,505,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",https://img.pokemondb.net/sprites/black-white/normal/machamp.png,https://img.pokemondb.net/sprites/black-white/shiny/machamp.png,https://img.pokemondb.net/sprites/black-white/back-normal/machamp.png,https://img.pokemondb.net/sprites/black-white/back-shiny/machamp.png
bellsprout,grass,poison,chlorophyll,300,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,https://img.pokemondb.net/sprites/black-white/normal/bellsprout.png,https://img.pokemondb.net/sprites/black-white/shiny/bellsprout.png,https://img.pokemondb.net/sprites/black-white/back-normal/bellsprout.png,https://img.pokemondb.net/sprites/black-white/back-shiny/bellsprout.png
weepinbell,grass,poison,chlorophyll,390,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,https://img.pokemondb.net/sprites/black-white/normal/weepinbell.png,https://img.pokemondb.net/sprites/black-white/shiny/weepinbell.png,https://img.pokemondb.net/sprites/black-white/back-normal/weepinbell.png,https://img.pokemondb.net/sprites/black-white/back-shiny/weepinbell.png
victreebel,grass,poison,chlorophyll,490,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",https://img.pokemondb.net/sprites/black-white/normal/victreebel.png,https://img.pokemondb.net/sprites/black-white/shiny/victreebel.png,https://img.pokemondb.net/sprites/black-white/back-normal/victreebel.png,https://img.pokemondb.net/sprites/black-white/back-shiny/victreebel.png
tentacool,water,poison,clear-body,335,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,https://img.pokemondb.net/sprites/black-white/normal/tentacool.png,https://img.pokemondb.net/sprites/black-white/shiny/tentacool.png,https://img.pokemondb.net/sprites/black-white/back-normal/tentacool.png,https://img.pokemondb.net/sprites/black-white/back-shiny/tentacool.png
tentacruel,water,poison,clear-body,515,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",https://img.pokemondb.net/sprites/black-white/normal/tentacruel.png,https://img.pokemondb.net/sprites/black-white/shiny/tentacruel.png,https://img.pokemondb.net/sprites/black-white/back-normal/tentacruel.png,https://img.pokemondb.net/sprites/black-white/back-shiny/tentacruel.png
geodude,rock,ground,rock-head,300,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",https://img.pokemondb.net/sprites/black-white/normal/geodude.png,https://img.pokemondb.net/sprites/black-white/shiny/geodude.png,https://img.pokemondb.net/sprites/black-white/back-normal/geodude.png,https://img.pokemondb.net/sprites/black-white/back-shiny/geodude.png
graveler,rock,ground,rock-head,390,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,https://img.pokemondb.net/sprites/black-white/normal/graveler.png,https://img.pokemondb.net/sprites/black-white/shiny/graveler.png,https://img.pokemondb.net/sprites/black-white/back-normal/graveler.png,https://img.pokemondb.net/sprites/black-white/back-shiny/graveler.png
golem,rock,ground,rock-head,495,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,https://img.pokemondb.net/sprites/black-white/normal/golem.png,https://img.pokemondb.net/sprites/black-white/shiny/golem.png,https://img.pokemondb.net/sprites/black-white/back-normal/golem.png,https://img.pokemondb.net/sprites/black-white/back-shiny/golem.png
ponyta,fire,,run-away,410,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,https://img.pokemondb.net/sprites/black-white/normal/ponyta.png,https://img.pokemondb.net/sprites/black-white/shiny/ponyta.png,https://img.pokemondb.net/sprites/black-white/back-normal/ponyta.png,https://img.pokemondb.net/sprites/black-white/back-shiny/ponyta.png
rapidash,fire,,run-away,500,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",https://img.pokemondb.net/sprites/black-white/normal/rapidash.png,https://img.pokemondb.net/sprites/black-white/shiny/rapidash.png,https://img.pokemondb.net/sprites/black-white/back-normal/rapidash.png,https://img.pokemondb.net/sprites/black-white/back-shiny/rapidash.png
